file_name	xml_file	bmp_exists	num_segments	segment_ranges
ae07_001	ae07_001.xml	True	5	53-65; 146-146; 162-162; 181-266; 412-435
ae07_002	ae07_002.xml	True	10	34-51; 79-94; 113-124; 174-197; 264-274; 287-298; 318-325; 406-442; 457-457; 507-523
ae07_003	ae07_003.xml	True	6	49-49; 81-133; 146-158; 203-305; 329-329; 346-360
ae07_004	ae07_004.xml	True	11	58-78; 114-131; 211-223; 280-296; 346-359; 369-405; 472-514; 540-572; 584-603; 633-633; 644-666
ae07_005	ae07_005.xml	True	7	56-131; 197-197; 220-297; 307-324; 371-406; 431-451; 465-489
ae07_006	ae07_006.xml	True	6	50-67; 111-140; 210-278; 291-318; 344-353; 367-391
ae07_007	ae07_007.xml	True	10	74-111; 122-162; 186-186; 262-277; 293-354; 424-438; 487-567; 606-629; 678-691; 745-760
ae07_008	ae07_008.xml	True	7	62-91; 182-284; 314-314; 351-351; 371-407; 460-460; 472-490
ae07_009	ae07_009.xml	True	11	64-84; 154-174; 233-233; 251-251; 256-259; 279-366; 457-461; 507-540; 571-595; 626-644; 658-688
ae07_010	ae07_010.xml	True	7	39-61; 131-161; 207-236; 272-289; 304-347; 361-446; 512-536
ae07_011	ae07_011.xml	True	3	119-133; 194-217; 227-251
ae07_012	ae07_012.xml	True	4	108-108; 148-169; 215-269; 337-352
ae07_013	ae07_013.xml	True	4	54-157; 201-258; 270-288; 314-314
ae07_014	ae07_014.xml	True	9	32-110; 165-197; 209-239; 298-334; 346-354; 371-446; 530-547; 584-602; 634-634
ae07_015	ae07_015.xml	True	7	73-121; 189-189; 222-326; 338-347; 407-444; 497-510; 525-543
ae07_016	ae07_016.xml	True	5	65-151; 235-244; 275-285; 323-351; 404-417
ae07_017	ae07_017.xml	True	8	40-40; 94-125; 139-139; 186-204; 258-297; 340-348; 374-489; 556-614
ae07_018	ae07_018.xml	True	6	68-68; 138-170; 234-252; 300-327; 337-467; 526-579
ae07_019	ae07_019.xml	True	8	75-107; 120-156; 169-169; 207-223; 262-369; 436-461; 501-529; 570-579
ae07_020	ae07_020.xml	True	9	58-81; 157-162; 257-261; 272-366; 460-460; 494-542; 568-584; 626-667; 681-696
ae07_021	ae07_021.xml	True	7	117-147; 164-205; 259-259; 287-331; 385-422; 451-480; 490-516
ae07_022	ae07_022.xml	True	4	41-54; 100-122; 165-190; 275-356
ae07_023	ae07_023.xml	True	8	57-139; 153-178; 218-234; 271-281; 293-313; 326-423; 476-491; 523-528
ae07_024	ae07_024.xml	True	6	77-104; 112-160; 180-180; 208-227; 260-320; 373-373
ae07_025	ae07_025.xml	True	6	81-120; 168-182; 225-316; 383-405; 451-519; 536-548
ae07_026	ae07_026.xml	True	7	67-87; 108-174; 220-269; 304-304; 344-433; 479-495; 558-591
ae07_027	ae07_027.xml	True	5	137-210; 237-270; 325-325; 349-357; 427-454
ae07_028	ae07_028.xml	True	5	129-162; 220-318; 329-369; 389-412; 421-458
ae07_029	ae07_029.xml	True	7	164-164; 183-192; 241-241; 297-313; 326-379; 436-462; 521-521
ae07_030	ae07_030.xml	True	7	66-122; 170-176; 236-287; 357-397; 414-430; 438-476; 576-584
ae07_031	ae07_031.xml	True	4	48-66; 136-173; 224-224; 340-463
ae07_032	ae07_032.xml	True	3	192-220; 272-289; 302-327
ae07_033	ae07_033.xml	True	7	119-154; 160-166; 233-245; 304-377; 436-478; 516-521; 573-587
ae07_034	ae07_034.xml	True	3	55-101; 112-134; 239-262
ae07_035	ae07_035.xml	True	3	198-242; 311-311; 376-394
ae07_036	ae07_036.xml	True	7	31-105; 143-173; 186-201; 229-259; 286-393; 442-457; 501-530
ae07_037	ae07_037.xml	True	7	56-56; 121-151; 197-228; 237-239; 265-378; 415-415; 422-455
ae07_038	ae07_038.xml	True	6	83-145; 153-160; 199-261; 294-318; 376-385; 395-426
ae07_039	ae07_039.xml	True	16	38-38; 75-92; 101-123; 153-168; 223-230; 246-289; 364-377; 427-444; 454-475; 493-501; 531-565; 581-596; 606-667; 777-777; 798-852; 898-907
ae07_040	ae07_040.xml	True	3	61-99; 111-143; 189-196
ae07_041	ae07_041.xml	True	6	51-95; 130-197; 242-268; 337-362; 404-420; 430-450
ae07_042	ae07_042.xml	True	9	31-97; 134-159; 172-172; 232-275; 286-289; 305-386; 470-511; 547-574; 626-626
ae07_043	ae07_043.xml	True	9	33-93; 202-225; 232-255; 266-301; 373-388; 466-518; 571-607; 650-663; 708-752
ae07_044	ae07_044.xml	True	4	50-98; 145-261; 270-287; 331-358
ae07_045	ae07_045.xml	True	12	18-111; 163-182; 188-188; 257-316; 360-376; 402-402; 432-432; 484-552; 604-604; 658-716; 725-725; 753-767
ae07_046	ae07_046.xml	True	6	39-89; 150-150; 206-231; 246-278; 287-301; 309-334
ae07_047	ae07_047.xml	True	6	43-43; 99-126; 164-239; 251-294; 315-315; 338-350
ae07_048	ae07_048.xml	True	6	37-66; 77-99; 129-167; 221-221; 291-291; 333-345
ae07_049	ae07_049.xml	True	4	110-145; 156-209; 320-343; 354-392
ae07_050	ae07_050.xml	True	3	95-129; 144-162; 202-213
ae07_051	ae07_051.xml	True	7	128-140; 168-168; 209-209; 264-276; 285-362; 403-474; 548-548
ae07_052	ae07_052.xml	True	8	26-58; 67-85; 122-144; 185-199; 206-234; 241-292; 376-423; 445-445
ae09_001	ae09_001.xml	True	6	36-71; 81-100; 117-156; 165-180; 217-392; 400-412
ae09_002	ae09_002.xml	True	3	90-102; 148-238; 257-367
ae09_003	ae09_003.xml	True	10	40-65; 71-99; 105-119; 178-261; 272-281; 291-303; 309-319; 394-421; 430-433; 496-525
ae09_004	ae09_004.xml	True	3	37-63; 72-205; 270-298
ae09_005	ae09_005.xml	True	8	63-161; 195-275; 282-301; 321-402; 436-457; 463-463; 531-573; 579-579
ae09_006	ae09_006.xml	True	7	50-87; 94-94; 164-175; 181-199; 206-274; 315-323; 332-400
ae09_007	ae09_007.xml	True	10	39-39; 99-132; 138-153; 160-245; 274-336; 371-386; 394-409; 430-452; 471-575; 594-603
ae09_008	ae09_008.xml	True	8	32-32; 63-90; 99-110; 125-197; 232-252; 273-343; 358-405; 449-539
ae09_009	ae09_009.xml	True	5	65-65; 153-192; 198-227; 282-400; 438-444
ae09_010	ae09_010.xml	True	7	66-88; 94-94; 144-195; 202-213; 221-307; 342-355; 365-426
ae09_011	ae09_011.xml	True	7	44-182; 190-205; 211-231; 239-275; 333-343; 371-394; 399-419
ae09_012	ae09_012.xml	True	6	26-53; 68-68; 115-157; 174-250; 317-396; 436-513
ae09_013	ae09_013.xml	True	6	46-82; 108-208; 251-284; 297-309; 314-333; 346-365
ae09_014	ae09_014.xml	True	12	29-62; 82-135; 157-162; 228-270; 309-322; 345-366; 373-394; 435-501; 541-556; 567-593; 597-619; 628-628
ae09_015	ae09_015.xml	True	16	50-86; 96-110; 133-133; 195-215; 227-245; 252-289; 333-348; 357-389; 410-443; 449-449; 488-523; 534-555; 569-597; 637-637; 658-679; 685-711
ae09_016	ae09_016.xml	True	7	37-44; 80-105; 111-147; 186-215; 244-350; 376-392; 399-452
ae09_017	ae09_017.xml	True	3	58-67; 77-103; 133-250
ae09_018	ae09_018.xml	True	12	48-70; 76-97; 131-175; 197-248; 280-347; 358-395; 489-538; 566-576; 583-594; 635-676; 681-695; 717-818
ae09_019	ae09_019.xml	True	2	34-70; 86-230
ae09_020	ae09_020.xml	True	4	32-62; 84-110; 154-236; 288-332
ae09_021	ae09_021.xml	True	3	37-102; 128-136; 180-279
